,customer,recency,frequency,monetary,country
427,15083,2,1,88.2,United Kingdom
428,15345,5,1,393.54,United Kingdom
429,15363,393,1,326.0,United Kingdom
430,15405,27,1,349.1,United Kingdom
431,15440,4,3,383.68,United Kingdom
432,15563,7,4,1400.44,United Kingdom
433,15920,22,4,167.5,United Kingdom
434,16413,16,1,262.2,United Kingdom
435,16431,15,3,623.28,United Kingdom
436,17071,0,9,2429.03,United Kingdom
437,17793,16,1,300.34,United Kingdom
438,17928,5,2,212.54,United Kingdom
439,12347,0,7,4310.0,Iceland
440,12882,0,2,1463.04,United Kingdom
441,13372,19,1,378.64,United Kingdom
442,13477,6,6,1454.58,United Kingdom
443,13685,5,7,3119.44,United Kingdom
444,13811,12,3,814.5,Germany
445,14345,29,1,108.98,United Kingdom
446,14439,6,1,2661.24,Greece
447,14871,1,4,501.28,United Kingdom
448,15108,4,4,1300.25,European Community
449,15224,379,2,322.08,United Kingdom
450,15267,2,5,1717.36,United Kingdom
451,15454,383,1,179.1,United Kingdom
452,16240,7,2,3718.8,United Kingdom
453,16303,14,3,5360.63,United Kingdom
454,17029,9,2,716.0,United Kingdom
455,17097,0,8,954.42,Spain
456,17345,3,4,519.69,United Kingdom
457,17423,6,2,698.41,United Kingdom
458,17545,3,3,642.32,United Kingdom
459,17811,2,39,7761.82,United Kingdom
460,18088,21,1,166.03,United Kingdom
461,18170,11,3,980.31,United Kingdom
462,18209,19,1,139.1,United Kingdom
463,12509,2,1,176.5,France
464,12709,0,15,9706.52,Germany
465,12895,2,2,372.8,United Kingdom
466,13422,24,1,2626.3,United Kingdom
467,13426,0,10,3641.32,United Kingdom
468,13584,24,1,142.4,United Kingdom
469,13644,3,4,2624.26,United Kingdom
470,14128,1,2,637.5,United Kingdom
471,14193,15,2,853.39,United Kingdom
472,14292,0,9,4871.93,United Kingdom
473,14565,12,4,3099.12,United Kingdom
474,14813,390,2,152.88,United Kingdom
475,15636,19,2,724.76,United Kingdom
476,15895,17,1,179.17,United Kingdom
477,15909,11,1,191.94,United Kingdom
478,15938,8,5,404.58,United Kingdom
479,16114,8,1,135.75,United Kingdom
480,16134,12,2,618.09,United Kingdom
481,16370,2,4,1301.91,United Kingdom
482,16383,4,2,643.76,United Kingdom
483,16698,0,2,1998.0,United Kingdom
484,16921,21,1,154.18,United Kingdom
485,17259,16,2,581.23,United Kingdom
486,17331,22,1,175.2,United Kingdom
487,17603,8,1,394.72,United Kingdom
488,17966,7,5,1098.43,United Kingdom
489,12429,0,4,3750.4,Denmark
490,12841,0,25,3991.58,United Kingdom
491,12873,28,1,374.0,United Kingdom
492,14102,2,5,1105.88,United Kingdom
493,14105,16,1,1266.23,United Kingdom
494,14317,24,1,508.58,United Kingdom
495,14462,13,11,1980.57,United Kingdom
496,15111,20,3,1567.48,United Kingdom
497,16048,394,2,256.44,United Kingdom
498,16131,11,6,3506.54,United Kingdom
499,17504,7,9,2997.03,United Kingdom
500,17536,15,1,76.5,United Kingdom
501,17883,5,4,664.34,United Kingdom
502,17984,13,1,152.68,United Kingdom
503,18050,380,1,74.4,United Kingdom
504,18053,0,1,300.02,United Kingdom
505,18075,1,10,2611.75,United Kingdom
506,12652,18,1,919.98,France
507,12881,21,1,298.0,United Kingdom
508,12935,6,7,2160.7,United Kingdom
509,13101,11,1,101.19,United Kingdom
510,13694,0,50,65039.62,United Kingdom
511,14036,2,1,626.65,United Kingdom
512,14523,7,1,241.09,United Kingdom
513,14587,5,9,1580.29,United Kingdom
514,14830,13,1,188.88,United Kingdom
515,15516,4,3,62.43,United Kingdom
516,15667,0,1,301.32,United Kingdom
517,15696,1,8,2711.11,United Kingdom
518,15974,0,7,3442.15,United Kingdom
519,16076,2,10,2234.73,United Kingdom
520,16242,3,7,3579.86,United Kingdom
521,16253,1,2,3683.86,United Kingdom
522,16491,6,1,731.5,United Kingdom
523,16515,12,5,1624.14,United Kingdom
524,17566,16,2,869.77,United Kingdom
525,17685,7,7,3155.83,United Kingdom
526,12536,3,3,12601.83,France
527,12564,7,1,456.9,France
528,12722,13,4,997.63,France
529,13117,6,8,984.91,United Kingdom
530,14669,18,3,1259.24,United Kingdom
531,15152,0,13,4745.69,United Kingdom
532,15228,7,4,3386.71,United Kingdom
533,15386,24,1,394.14,United Kingdom
534,15593,0,1,199.8,United Kingdom
535,15815,5,5,2100.6,United Kingdom
536,16201,5,4,1863.47,United Kingdom
537,16230,27,2,542.03,United Kingdom
538,16316,0,8,2938.91,United Kingdom
539,16401,0,12,4098.32,United Kingdom
540,16693,17,2,477.86,United Kingdom
541,16769,6,1,361.54,United Kingdom
542,16948,6,3,435.02,United Kingdom
543,17386,3,6,2686.42,United Kingdom
544,17400,0,5,2097.84,United Kingdom
545,17486,7,1,396.87,United Kingdom
546,17503,23,2,558.96,United Kingdom
547,17706,0,17,10504.49,United Kingdom
548,17869,6,5,428.18,United Kingdom
549,18036,4,3,403.12,United Kingdom
550,12489,23,1,334.93,France
551,13248,23,2,465.68,United Kingdom
552,13431,18,2,1269.1,United Kingdom
553,13781,27,1,127.84,United Kingdom
554,14041,12,1,141.41,United Kingdom
555,14598,4,1,221.97,United Kingdom
556,14860,10,1,170.32,United Kingdom
557,15540,2,1,213.3,United Kingdom
558,15856,0,27,16143.64,United Kingdom
559,15940,29,1,35.8,United Kingdom
560,16057,2,7,2263.12,United Kingdom
561,16159,27,1,348.2,United Kingdom
562,16469,14,4,625.42,United Kingdom
563,16475,0,4,544.3,United Kingdom
564,16483,0,1,139.35,United Kingdom
565,16682,17,5,1028.0,United Kingdom
566,16984,18,2,4459.52,United Kingdom
567,17974,4,3,703.99,United Kingdom
568,18062,11,3,720.52,United Kingdom
569,12708,0,10,2712.91,Germany
570,13122,17,2,922.39,United Kingdom
571,13297,14,4,2089.85,United Kingdom
572,13488,2,13,8968.31,United Kingdom
573,14351,2,1,51.0,United Kingdom
574,14513,0,3,455.59,United Kingdom
575,14824,1,4,1127.71,United Kingdom
576,14904,16,2,1025.44,United Kingdom
577,15053,24,3,693.95,United Kingdom
578,15438,0,1,156.58,United Kingdom
579,15543,6,1,127.86,United Kingdom
580,15570,1,12,4148.82,United Kingdom
581,15922,394,1,369.5,United Kingdom
582,15950,5,4,1744.71,United Kingdom
583,16148,14,1,76.32,United Kingdom
584,16394,2,5,1555.34,United Kingdom
585,17204,9,4,1564.56,United Kingdom
586,18129,20,1,112.55,United Kingdom
587,12639,15,1,486.1,Sweden
588,12713,21,1,848.55,Germany
589,12744,5,7,21279.29,Singapore
590,13344,23,3,2511.69,United Kingdom
591,13589,5,2,379.65,United Kingdom
592,14032,6,11,2975.59,United Kingdom
593,14327,1,1,311.65,United Kingdom
594,14364,2,8,3717.35,United Kingdom
595,14606,0,93,12076.15,United Kingdom
596,14608,15,4,1785.15,United Kingdom
597,16073,15,1,122.4,United Kingdom
598,16348,8,7,1415.65,United Kingdom
599,16470,0,4,752.77,United Kingdom
600,16609,3,7,5493.46,United Kingdom
601,17692,3,4,740.94,United Kingdom
602,17715,7,1,326.4,United Kingdom
603,17720,2,4,1195.94,United Kingdom
604,17852,2,2,114.34,United Kingdom
605,18169,20,1,202.65,United Kingdom
606,12535,21,2,716.35,France
607,12965,19,1,769.81,United Kingdom
608,13098,0,28,28882.44,United Kingdom
609,13975,1,6,2461.24,United Kingdom
610,13988,0,6,4147.96,United Kingdom
611,14422,0,6,4263.64,United Kingdom
612,14507,0,6,1367.88,United Kingdom
613,14870,7,1,327.25,United Kingdom
614,15364,0,2,913.19,United Kingdom
615,15452,1,3,528.48,United Kingdom
616,15835,4,4,954.09,United Kingdom
617,15925,1,1,207.15,United Kingdom
618,16145,0,11,3799.49,United Kingdom
619,16323,3,1,207.5,United Kingdom
620,16473,2,3,316.11,United Kingdom
621,16561,19,2,511.12,United Kingdom
622,17019,2,4,1258.08,United Kingdom
623,17094,9,1,302.0,United Kingdom
624,17466,1,2,763.28,United Kingdom
625,17585,8,4,1116.68,United Kingdom
626,17730,1,13,5298.48,United Kingdom
627,18191,7,1,207.8,United Kingdom
628,12712,5,13,4396.13,Germany
629,12797,386,1,254.03,Portugal
630,12962,12,2,266.39,United Kingdom
631,12980,7,9,7374.9,United Kingdom
632,13132,7,1,77.3,United Kingdom
633,13228,11,1,358.0,United Kingdom
634,13295,380,1,201.2,United Kingdom
635,14035,6,5,1428.02,United Kingdom
636,14051,2,23,15610.39,United Kingdom
637,14112,0,7,2915.15,United Kingdom
638,14415,2,13,5855.57,United Kingdom
639,14775,5,3,1011.9,United Kingdom
640,15532,0,4,1564.73,United Kingdom
641,15882,5,4,516.36,United Kingdom
642,16775,1,11,1691.51,United Kingdom
643,16928,0,17,2814.7,United Kingdom
644,17176,8,1,306.13,United Kingdom
645,17242,7,2,1135.04,United Kingdom
646,17444,10,3,2940.04,Canada
647,17785,13,1,131.94,United Kingdom
648,17805,3,1,512.31,United Kingdom
649,17819,1,7,3704.87,United Kingdom
650,17871,11,1,155.9,United Kingdom
651,18102,2,60,259657.3,United Kingdom
652,18252,9,2,518.27,United Kingdom
653,12888,1,2,354.12,United Kingdom
654,12910,2,8,3075.04,United Kingdom
655,12937,1,4,1504.27,United Kingdom
656,13439,1,1,283.71,United Kingdom
657,13517,5,3,2128.42,United Kingdom
658,14013,9,3,473.02,United Kingdom
659,14139,6,1,415.82,United Kingdom
660,14436,28,1,89.06,United Kingdom
661,14453,28,1,119.93,United Kingdom
662,14474,6,1,547.66,United Kingdom
663,15163,0,2,304.47,United Kingdom
664,15206,1,4,420.3,United Kingdom
665,15330,20,2,714.96,United Kingdom
666,15689,18,2,254.1,United Kingdom
667,15700,10,2,696.68,United Kingdom
668,15829,8,2,636.14,United Kingdom
669,16191,0,13,5180.52,United Kingdom
670,16204,14,1,384.18,United Kingdom
671,16292,20,1,302.25,United Kingdom
672,16637,2,4,1154.47,United Kingdom
673,16657,0,4,874.43,United Kingdom
674,16688,1,4,1260.86,United Kingdom
675,16732,22,1,603.75,United Kingdom
676,16917,22,1,391.52,United Kingdom
677,16934,14,2,931.03,United Kingdom
678,16952,8,2,167.61,United Kingdom
679,17018,0,2,920.1,United Kingdom
680,17447,0,2,541.53,United Kingdom
681,17817,23,3,387.68,United Kingdom
682,17946,5,2,149.58,United Kingdom
683,12589,12,2,646.68,France
684,12921,0,37,16587.09,United Kingdom
685,13000,5,3,534.85,United Kingdom
686,13549,0,7,918.2,United Kingdom
687,13983,0,12,2603.43,United Kingdom
688,15046,0,15,5090.42,United Kingdom
689,15061,0,48,54534.14,United Kingdom
690,15097,25,1,248.08,United Kingdom
691,15549,3,3,1681.46,United Kingdom
692,15958,4,1,104.35,United Kingdom
693,16516,21,1,101.7,United Kingdom
694,17101,1,4,1621.73,United Kingdom
