customer,recency,frequency,monetary,country,R,F,M,group,cluster,labels
17438,0,1,388.45,United Kingdom,4,1,2,412,0,NORMAL
12530,10,4,1662.28,Germany,2,3,4,234,0,NORMAL
12717,19,2,1030.98,Greece,1,2,3,123,0,NORMAL
13313,9,5,1555.32,United Kingdom,2,3,3,233,0,NORMAL
13544,0,2,276.06,United Kingdom,4,2,1,421,0,NORMAL
14030,9,8,2358.84,United Kingdom,2,4,4,244,0,NORMAL
14245,9,2,1693.45,United Kingdom,2,2,4,224,0,NORMAL
14284,16,2,595.25,United Kingdom,2,2,2,222,0,NORMAL
14477,10,4,1309.6,United Kingdom,2,3,3,233,0,NORMAL
15216,17,1,96.6,United Kingdom,1,1,1,111,0,NORMAL
15584,0,4,720.86,United Kingdom,4,3,3,433,0,NORMAL
15781,5,3,345.46,United Kingdom,3,3,2,332,0,NORMAL
15827,3,14,1836.09,United Kingdom,3,4,4,344,0,NORMAL
15983,13,4,1465.12,United Kingdom,2,3,3,233,0,NORMAL
16255,0,8,2619.91,United Kingdom,4,4,4,444,0,NORMAL
16257,14,1,46.95,United Kingdom,2,1,1,211,0,NORMAL
16505,22,1,777.6,United Kingdom,1,1,3,113,0,NORMAL
16601,0,1,242.7,United Kingdom,4,1,1,411,0,NORMAL
17213,0,7,2781.23,United Kingdom,4,4,4,444,0,NORMAL
17613,1,14,4544.55,United Kingdom,4,4,4,444,0,NORMAL
17677,0,30,16345.38,United Kingdom,4,4,4,444,0,NORMAL
17904,12,1,181.07,United Kingdom,2,1,1,211,0,NORMAL
12559,6,2,561.71,Germany,3,2,2,322,0,NORMAL
12723,7,5,725.07,France,3,3,3,333,0,NORMAL
12727,1,7,3980.7,France,4,4,4,444,0,NORMAL
12757,6,13,7834.65,Portugal,3,4,4,344,0,NORMAL
14532,0,4,932.85,United Kingdom,4,3,3,433,0,NORMAL
14760,15,1,89.2,United Kingdom,2,1,1,211,0,NORMAL
15157,22,3,1936.07,United Kingdom,1,3,4,134,0,NORMAL
15348,2,1,158.04,United Kingdom,4,1,1,411,0,NORMAL
15634,8,1,243.55,United Kingdom,2,1,1,211,0,NORMAL
16766,19,2,1145.6,United Kingdom,1,2,3,123,0,NORMAL
16800,2,1,1162.65,United Kingdom,4,1,3,413,0,NORMAL
16835,27,2,180.85,United Kingdom,1,2,1,121,0,NORMAL
16947,12,1,406.48,United Kingdom,2,1,2,212,0,NORMAL
16954,0,9,2085.08,United Kingdom,4,4,4,444,0,NORMAL
17392,24,2,417.27,United Kingdom,1,2,2,122,0,NORMAL
17396,0,8,7330.8,United Kingdom,4,4,4,444,0,NORMAL
17462,2,2,675.69,United Kingdom,4,2,3,423,0,NORMAL
17502,0,4,689.1,United Kingdom,4,3,3,433,0,NORMAL
17924,0,7,2962.5,United Kingdom,4,4,4,444,0,NORMAL
18174,28,1,104.0,United Kingdom,1,1,1,111,0,NORMAL
12401,21,1,84.3,Belgium,1,1,1,111,0,NORMAL
12436,29,1,509.01,Norway,1,1,2,112,0,NORMAL
12523,3,11,1789.77,France,3,4,4,344,0,NORMAL
14437,386,1,63.0,United Kingdom,1,1,1,111,2,LEFT
15091,27,1,480.71,United Kingdom,1,1,2,112,0,NORMAL
15164,15,3,824.58,United Kingdom,2,3,3,233,0,NORMAL
15270,6,7,2379.49,United Kingdom,3,4,4,344,0,NORMAL
15904,29,1,164.68,United Kingdom,1,1,1,111,0,NORMAL
15973,387,1,307.82,United Kingdom,1,1,2,112,2,LEFT
16317,15,3,1341.65,United Kingdom,2,3,3,233,0,NORMAL
16648,2,1,290.66,United Kingdom,4,1,1,411,0,NORMAL
17265,6,2,550.01,United Kingdom,3,2,2,322,0,NORMAL
17525,380,1,422.7,United Kingdom,1,1,2,112,2,LEFT
17774,13,4,1213.73,United Kingdom,2,3,3,233,0,NORMAL
17926,1,2,397.29,United Kingdom,4,2,2,422,0,NORMAL
17969,4,2,228.2,United Kingdom,3,2,1,321,0,NORMAL
17972,18,1,135.19,United Kingdom,1,1,1,111,0,NORMAL
18014,19,1,162.22,United Kingdom,1,1,1,111,0,NORMAL
13003,4,3,149.05,United Kingdom,3,3,1,331,0,NORMAL
13046,12,2,629.31,United Kingdom,2,2,2,222,0,NORMAL
13494,29,1,316.26,United Kingdom,1,1,2,112,0,NORMAL
13516,2,3,1389.41,United Kingdom,4,3,3,433,0,NORMAL
13967,13,1,80.7,United Kingdom,2,1,1,211,0,NORMAL
14085,0,18,4421.29,United Kingdom,4,4,4,444,0,NORMAL
14658,16,2,247.15,United Kingdom,2,2,1,221,0,NORMAL
15491,0,6,3100.09,United Kingdom,4,4,4,444,0,NORMAL
15658,4,5,1024.1,United Kingdom,3,3,3,333,0,NORMAL
16813,0,10,1652.18,United Kingdom,4,4,3,443,0,NORMAL
17253,9,1,178.26,United Kingdom,2,1,1,211,0,NORMAL
17430,23,2,265.76,United Kingdom,1,2,1,121,0,NORMAL
17554,7,5,1952.45,United Kingdom,3,3,4,334,0,NORMAL
17639,22,1,108.5,United Kingdom,1,1,1,111,0,NORMAL
12384,19,2,585.27,Switzerland,1,2,2,122,0,NORMAL
13720,0,4,799.9,United Kingdom,4,3,3,433,0,NORMAL
13751,6,1,296.25,United Kingdom,3,1,1,311,0,NORMAL
13994,0,6,2274.14,United Kingdom,4,4,4,444,0,NORMAL
14064,0,5,1334.34,United Kingdom,4,3,3,433,0,NORMAL
14332,13,3,840.21,United Kingdom,2,3,3,233,0,NORMAL
14589,392,1,39.75,United Kingdom,1,1,1,111,2,LEFT
14801,21,1,189.34,United Kingdom,1,1,1,111,0,NORMAL
15093,5,6,4597.02,United Kingdom,3,4,4,344,0,NORMAL
15497,6,2,1262.2,United Kingdom,3,2,3,323,0,NORMAL
15557,19,1,468.91,United Kingdom,1,1,2,112,0,NORMAL
16738,15,1,3.75,United Kingdom,2,1,1,211,0,NORMAL
16801,0,4,1594.23,United Kingdom,4,3,3,433,0,NORMAL
16913,8,1,113.44,United Kingdom,2,1,1,211,0,NORMAL
16968,6,2,439.43,United Kingdom,3,2,2,322,0,NORMAL
17388,0,4,1259.56,United Kingdom,4,3,3,433,0,NORMAL
17588,0,3,1240.2,United Kingdom,4,3,3,433,0,NORMAL
12355,21,1,459.4,Bahrain,1,1,2,112,0,NORMAL
12494,0,7,1246.1,France,4,4,3,443,0,NORMAL
12566,16,1,351.65,Germany,2,1,2,212,0,NORMAL
12755,26,2,3811.95,Japan,1,2,4,124,0,NORMAL
12782,0,5,2330.92,Portugal,4,3,4,434,0,NORMAL
12837,11,1,134.1,United Kingdom,2,1,1,211,0,NORMAL
12854,5,3,1316.25,United Kingdom,3,3,3,333,0,NORMAL
13066,15,2,470.8,United Kingdom,2,2,2,222,0,NORMAL
13170,17,1,108.81,United Kingdom,1,1,1,111,0,NORMAL
13368,2,2,623.4,United Kingdom,4,2,2,422,0,NORMAL
13594,12,1,396.97,United Kingdom,2,1,2,212,0,NORMAL
14336,5,4,1614.91,United Kingdom,3,3,3,333,0,NORMAL
14715,15,4,867.38,United Kingdom,2,3,3,233,0,NORMAL
14935,15,1,1784.71,Channel Islands,2,1,4,214,0,NORMAL
15637,12,1,223.36,United Kingdom,2,1,1,211,0,NORMAL
15716,3,4,1101.11,United Kingdom,3,3,3,333,0,NORMAL
15850,6,2,234.88,United Kingdom,3,2,1,321,0,NORMAL
16125,388,1,289.35,United Kingdom,1,1,1,111,2,LEFT
16274,394,1,351.75,United Kingdom,1,1,2,112,2,LEFT
16721,8,1,292.47,United Kingdom,2,1,1,211,0,NORMAL
17347,16,1,228.96,United Kingdom,2,1,1,211,0,NORMAL
17397,13,2,681.41,United Kingdom,2,2,3,223,0,NORMAL
17508,26,1,387.31,Greece,1,1,2,112,0,NORMAL
18030,2,2,230.65,United Kingdom,4,2,1,421,0,NORMAL
18085,17,2,689.95,United Kingdom,1,2,3,123,0,NORMAL
18105,28,1,113.48,United Kingdom,1,1,1,111,0,NORMAL
18193,3,1,243.76,United Kingdom,3,1,1,311,0,NORMAL
12362,2,10,5226.23,Belgium,4,4,4,444,0,NORMAL
13220,8,4,819.29,United Kingdom,2,3,3,233,0,NORMAL
13745,0,1,300.04,United Kingdom,4,1,1,411,0,NORMAL
13782,3,6,908.86,United Kingdom,3,4,3,343,0,NORMAL
13960,1,2,230.22,United Kingdom,4,2,1,421,0,NORMAL
14044,2,4,646.42,United Kingdom,4,3,2,432,0,NORMAL
14101,3,6,5976.79,United Kingdom,3,4,4,344,0,NORMAL
14410,0,9,1100.27,United Kingdom,4,4,3,443,0,NORMAL
14501,6,2,251.21,United Kingdom,3,2,1,321,0,NORMAL
14703,5,1,318.17,United Kingdom,3,1,2,312,0,NORMAL
15116,2,4,1352.75,United Kingdom,4,3,3,433,0,NORMAL
15130,7,1,330.11,United Kingdom,3,1,2,312,0,NORMAL
15844,6,1,130.74,United Kingdom,3,1,1,311,0,NORMAL
16189,6,2,215.48,United Kingdom,3,2,1,321,0,NORMAL
16532,3,3,6748.8,United Kingdom,3,3,4,334,0,NORMAL
16671,2,3,1692.27,United Kingdom,4,3,4,434,0,NORMAL
16930,17,3,378.89,United Kingdom,1,3,2,132,0,NORMAL
17001,6,11,3989.57,United Kingdom,3,4,4,344,0,NORMAL
17353,22,2,1740.0,United Kingdom,1,2,4,124,0,NORMAL
12447,20,1,476.49,Belgium,1,1,2,112,0,NORMAL
13027,10,6,6912.0,United Kingdom,2,4,4,244,0,NORMAL
13109,19,2,786.54,United Kingdom,1,2,3,123,0,NORMAL
13726,0,2,1079.66,United Kingdom,4,2,3,423,0,NORMAL
13904,12,2,332.64,United Kingdom,2,2,2,222,0,NORMAL
14180,0,25,4748.52,United Kingdom,4,4,4,444,0,NORMAL
14525,0,9,4215.9,United Kingdom,4,4,4,444,0,NORMAL
14554,1,4,2279.49,United Kingdom,4,3,4,434,0,NORMAL
14555,17,2,312.54,United Kingdom,1,2,2,122,0,NORMAL
15060,0,4,294.25,United Kingdom,4,3,1,431,0,NORMAL
15253,7,5,918.2,United Kingdom,3,3,3,333,0,NORMAL
15398,7,2,1345.53,United Kingdom,3,2,3,323,0,NORMAL
15795,17,1,610.01,United Kingdom,1,1,2,112,0,NORMAL
15840,10,2,355.56,United Kingdom,2,2,2,222,0,NORMAL
16244,18,2,1522.75,United Kingdom,1,2,3,123,0,NORMAL
17059,4,5,3080.39,United Kingdom,3,3,4,334,0,NORMAL
17297,8,1,128.18,United Kingdom,2,1,1,211,0,NORMAL
17647,25,1,133.06,United Kingdom,1,1,1,111,0,NORMAL
17678,9,1,298.11,United Kingdom,2,1,1,211,0,NORMAL
18071,3,2,453.0,United Kingdom,3,2,2,322,0,NORMAL
18240,6,1,422.58,United Kingdom,3,1,2,312,0,NORMAL
13045,29,1,305.28,United Kingdom,1,1,1,111,0,NORMAL
14056,0,23,8152.71,United Kingdom,4,4,4,444,0,NORMAL
14117,11,1,90.0,United Kingdom,2,1,1,211,0,NORMAL
14367,1,16,9227.82,United Kingdom,4,4,4,444,0,NORMAL
14642,18,1,96.12,United Kingdom,1,1,1,111,0,NORMAL
14687,5,1,628.38,United Kingdom,3,1,2,312,0,NORMAL
14733,4,12,9585.91,United Kingdom,3,4,4,344,0,NORMAL
14776,0,11,2538.3,United Kingdom,4,4,4,444,0,NORMAL
15096,2,1,219.39,United Kingdom,4,1,1,411,0,NORMAL
15234,22,1,197.0,United Kingdom,1,1,1,111,0,NORMAL
15503,383,1,141.04,United Kingdom,1,1,1,111,2,LEFT
16265,0,9,5447.0,United Kingdom,4,4,4,444,0,NORMAL
16366,9,1,327.3,United Kingdom,2,1,2,212,0,NORMAL
16455,1,7,1841.18,United Kingdom,4,4,4,444,0,NORMAL
16839,0,34,16594.35,United Kingdom,4,4,4,444,0,NORMAL
17081,6,2,288.91,United Kingdom,3,2,1,321,0,NORMAL
17147,10,4,1714.59,United Kingdom,2,3,4,234,0,NORMAL
17890,9,2,586.89,United Kingdom,2,2,2,222,0,NORMAL
17955,5,4,557.3,United Kingdom,3,3,2,332,0,NORMAL
18278,3,1,173.9,United Kingdom,3,1,1,311,0,NORMAL
12373,29,1,364.6,Austria,1,1,2,112,0,NORMAL
12453,2,1,707.09,Austria,4,1,3,413,0,NORMAL
12548,4,1,95.2,Spain,3,1,1,311,0,NORMAL
12885,22,3,1175.22,United Kingdom,1,3,3,133,0,NORMAL
12913,6,5,2483.63,United Kingdom,3,3,4,334,0,NORMAL
12948,4,7,2064.95,United Kingdom,3,4,4,344,0,NORMAL
13104,1,6,1098.48,United Kingdom,4,4,3,443,0,NORMAL
13166,29,1,417.2,United Kingdom,1,1,2,112,0,NORMAL
13873,18,3,389.6,United Kingdom,1,3,2,132,0,NORMAL
14141,3,4,915.13,United Kingdom,3,3,3,333,0,NORMAL
14177,16,4,549.46,United Kingdom,2,3,2,232,0,NORMAL
14647,8,1,236.04,United Kingdom,2,1,1,211,0,NORMAL
15105,2,7,2298.93,United Kingdom,4,4,4,444,0,NORMAL
15733,28,1,162.3,United Kingdom,1,1,1,111,0,NORMAL
15923,393,1,127.08,United Kingdom,1,1,1,111,2,LEFT
16043,4,4,773.99,United Kingdom,3,3,3,333,0,NORMAL
16053,21,2,1511.95,United Kingdom,1,2,3,123,0,NORMAL
17542,15,1,170.75,United Kingdom,2,1,1,211,0,NORMAL
12725,392,1,427.8,Italy,1,1,2,112,2,LEFT
13052,19,1,348.15,United Kingdom,1,1,2,112,0,NORMAL
13139,2,7,5064.94,United Kingdom,4,4,4,444,0,NORMAL
14419,1,6,1051.79,United Kingdom,4,4,3,443,0,NORMAL
14496,29,2,538.81,United Kingdom,1,2,2,122,0,NORMAL
15024,0,10,1636.43,United Kingdom,4,4,3,443,0,NORMAL
15062,1,4,987.86,United Kingdom,4,3,3,433,0,NORMAL
15219,14,1,305.75,United Kingdom,2,1,1,211,0,NORMAL
15260,0,7,1810.77,United Kingdom,4,4,4,444,0,NORMAL
15262,10,1,178.95,United Kingdom,2,1,1,211,0,NORMAL
15332,387,4,1661.06,Lithuania,1,3,4,134,2,LEFT
15531,21,2,1972.39,United Kingdom,1,2,4,124,0,NORMAL
15855,4,5,712.24,United Kingdom,3,3,3,333,0,NORMAL
16012,23,3,1415.29,United Kingdom,1,3,3,133,0,NORMAL
16175,7,4,1037.59,United Kingdom,3,3,3,333,0,NORMAL
16684,1,28,66653.56,United Kingdom,4,4,4,444,1,HOT
16774,10,4,661.52,United Kingdom,2,3,2,232,0,NORMAL
17070,13,1,304.24,United Kingdom,2,1,1,211,0,NORMAL
17148,11,1,124.88,United Kingdom,2,1,1,211,0,NORMAL
17463,0,5,1875.86,United Kingdom,4,3,4,434,0,NORMAL
18113,389,1,76.32,United Kingdom,1,1,1,111,2,LEFT
18248,21,2,804.02,United Kingdom,1,2,3,123,0,NORMAL
12582,6,2,511.36,Finland,3,2,2,322,0,NORMAL
12597,0,4,3811.22,Spain,4,3,4,434,0,NORMAL
12705,2,9,6868.29,Germany,4,4,4,444,0,NORMAL
12865,17,2,1568.23,Austria,1,2,3,123,0,NORMAL
12868,3,6,1607.06,United Kingdom,3,4,3,343,0,NORMAL
13301,2,4,618.09,United Kingdom,4,3,2,432,0,NORMAL
13523,6,5,3964.88,United Kingdom,3,3,4,334,0,NORMAL
13946,8,3,561.57,United Kingdom,2,3,2,232,0,NORMAL
14062,0,12,10464.85,United Kingdom,4,4,4,444,0,NORMAL
15071,21,2,982.07,United Kingdom,1,2,3,123,0,NORMAL
15073,0,3,1043.41,United Kingdom,4,3,3,433,0,NORMAL
15132,4,5,977.93,United Kingdom,3,3,3,333,0,NORMAL
15263,5,1,156.51,United Kingdom,3,1,1,311,0,NORMAL
15370,0,7,2386.05,United Kingdom,4,4,4,444,0,NORMAL
15426,3,5,1404.07,United Kingdom,3,3,3,333,0,NORMAL
16178,6,1,197.9,United Kingdom,3,1,1,311,0,NORMAL
16326,0,14,3039.22,United Kingdom,4,4,4,444,0,NORMAL
16553,1,12,5719.82,United Kingdom,4,4,4,444,0,NORMAL
16834,4,1,413.46,United Kingdom,3,1,2,312,0,NORMAL
16885,6,3,450.41,United Kingdom,3,3,2,332,0,NORMAL
17244,13,1,954.9,United Kingdom,2,1,3,213,0,NORMAL
17637,14,2,547.06,United Kingdom,2,2,2,222,0,NORMAL
17709,7,1,137.45,United Kingdom,3,1,1,311,0,NORMAL
17737,0,2,168.24,United Kingdom,4,2,1,421,0,NORMAL
18096,2,3,849.06,United Kingdom,4,3,3,433,0,NORMAL
18147,5,2,179.34,United Kingdom,3,2,1,321,0,NORMAL
12601,0,5,577.06,Germany,4,3,2,432,0,NORMAL
13040,24,2,676.99,United Kingdom,1,2,3,123,0,NORMAL
13081,2,11,28337.38,United Kingdom,4,4,4,444,0,NORMAL
13416,3,2,712.5,United Kingdom,3,2,3,323,0,NORMAL
14140,22,2,935.05,United Kingdom,1,2,3,123,0,NORMAL
14644,16,2,830.76,United Kingdom,2,2,3,223,0,NORMAL
14720,19,3,663.81,United Kingdom,1,3,2,132,0,NORMAL
15841,2,4,1224.06,United Kingdom,4,3,3,433,0,NORMAL
15906,1,7,1567.69,United Kingdom,4,4,3,443,0,NORMAL
16000,23,3,12393.7,United Kingdom,1,3,4,134,0,NORMAL
16015,9,3,704.55,United Kingdom,2,3,3,233,0,NORMAL
16056,5,1,650.75,United Kingdom,3,1,2,312,0,NORMAL
16078,29,1,79.2,United Kingdom,1,1,1,111,0,NORMAL
16352,8,2,494.44,United Kingdom,2,2,2,222,0,NORMAL
17014,23,3,583.43,United Kingdom,1,3,2,132,0,NORMAL
17053,29,1,498.48,United Kingdom,1,1,2,112,0,NORMAL
17312,6,3,644.3,United Kingdom,3,3,2,332,0,NORMAL
17549,11,2,148.86,United Kingdom,2,2,1,221,0,NORMAL
17584,26,2,1242.3,United Kingdom,1,2,3,123,0,NORMAL
12893,21,1,176.55,United Kingdom,1,1,1,111,0,NORMAL
13038,8,3,908.46,United Kingdom,2,3,3,233,0,NORMAL
13347,0,1,341.36,United Kingdom,4,1,2,412,0,NORMAL
13497,28,2,348.05,United Kingdom,1,2,2,122,0,NORMAL
13524,0,5,680.18,United Kingdom,4,3,3,433,0,NORMAL
13838,16,4,674.82,United Kingdom,2,3,3,233,0,NORMAL
13992,21,1,76.8,United Kingdom,1,1,1,111,0,NORMAL
14961,1,9,7044.68,United Kingdom,4,4,4,444,0,NORMAL
15051,9,3,1383.36,United Kingdom,2,3,3,233,0,NORMAL
15203,4,6,1827.8,United Kingdom,3,4,4,344,0,NORMAL
15485,21,3,2564.5,United Kingdom,1,3,4,134,0,NORMAL
15599,11,2,761.74,United Kingdom,2,2,3,223,0,NORMAL
15918,17,2,334.23,United Kingdom,1,2,2,122,0,NORMAL
16150,2,5,2053.02,United Kingdom,4,3,4,434,0,NORMAL
16243,14,2,409.1,United Kingdom,2,2,2,222,0,NORMAL
16266,3,7,861.89,United Kingdom,3,4,3,343,0,NORMAL
16338,25,1,214.8,United Kingdom,1,1,1,111,0,NORMAL
16571,14,3,1421.69,United Kingdom,2,3,3,233,0,NORMAL
